Profile,tech_stack,tobeclusteredcolumn,cluster
DO,Agile,DO Agile,0
DO,CloudTrail,DO CloudTrail,0
DO,CloudFormation,DO CloudFormation,0
DO,risk management,DO risk management,1
DO,vulnerability assessment,DO vulnerability assessment,0
DO,Azure Cli,DO Azure Cli,0
DO,Helm,DO Helm,0
DO,azure devops,DO azure devops,0
DO,Powershell Scripting,DO Powershell Scripting,0
DO,Scripting,DO Scripting,0
DO,Devops,DO Devops,0
DO,Powershell,DO Powershell,0
DO,Continuous Integration,DO Continuous Integration,0
DO,Site Reliability,DO Site Reliability,0
DO,Configuration Management Tools,DO Configuration Management Tools,1
DO,Azure,DO Azure,0
DO,Bash Scripting,DO Bash Scripting,0
DO,Ruby Programming,DO Ruby Programming,0
DO,Automation Tools,DO Automation Tools,0
DO,Ci Cd Pipeline,DO Ci Cd Pipeline,0
DO,devops,DO devops,0
DO,continuous deployment,DO continuous deployment,0
DO,SQL,DO SQL,0
DO,CI/Cd,DO CI/Cd,0
DO,Github,DO Github,0
DO,Senior,DO Senior,0
DO,Red Hat Open Shift,DO Red Hat Open Shift,0
DO,Enterprise architecture,DO Enterprise architecture,0
DO,Troubleshooting,DO Troubleshooting,0
DO,Grafana,DO Grafana,0
DO,Qualys,DO Qualys,0
DO,engineer,DO engineer,0
DO,Sonarqube,DO Sonarqube,0
DO,Groovy,DO Groovy,0
DO,Containerization,DO Containerization,0
DO,Gitlab,DO Gitlab,0
DO,Python,DO Python,0
DO,Maven,DO Maven,0
DO,NUnit,DO NUnit,0
DO,Ant,DO Ant,0
DO,ELK,DO ELK,0
DO,open-source,DO open-source,0
DO,Agile principles,DO Agile principles,0
DO,Full Stack Developer,DO Full Stack Developer,0
DO,JavaScript,DO JavaScript,0
DO,MySQL,DO MySQL,0
DO,Oracle,DO Oracle,0
DO,AWS Devops,DO AWS Devops,0
DO,Development,DO Development,3
DO,performance testing,DO performance testing,0
DO,documentation,DO documentation,0
DO,application performance management,DO application performance management,1
DO,hybrid cloud,DO hybrid cloud,0
DO,design development,DO design development,3
DO,creative solutions,DO creative solutions,0
DO,Management,DO Management,1
DO,Networking,DO Networking,0
DO,Performance testing,DO Performance testing,0
DO,application architecture,DO application architecture,0
DO,APM solution,DO APM solution,0
DO,Solution architecture,DO Solution architecture,0
DO,Architect,DO Architect,0
DO,Costing,DO Costing,0
DO,Illustration,DO Illustration,0
DO,Billing,DO Billing,0
DO,Iac Tools,DO Iac Tools,0
DO,Aws Cloud,DO Aws Cloud,0
DO,application engineering,DO application engineering,0
DO,Serverless,DO Serverless,0
DO,Root cause analysis,DO Root cause analysis,2
DO,Prototype,DO Prototype,0
DO,Claims,DO Claims,0
DO,Risk assessment,DO Risk assessment,0
DO,risk modeling,DO risk modeling,0
DO,data governance,DO data governance,0
DO,Workflow,DO Workflow,0
DO,microsoft,DO microsoft,0
DO,Engineer II,DO Engineer II,0
DO,Team leading,DO Team leading,0
DO,Architecture,DO Architecture,0
DO,Cloud,DO Cloud,0
DO,AppDynamics,DO AppDynamics,0
DO,SolarWinds,DO SolarWinds,0
DO,RDBMS,DO RDBMS,0
DO,Web development,DO Web development,3
DO,New Relic,DO New Relic,0
DO,Training,DO Training,0
DO,Postgresql,DO Postgresql,0
DO,Deployment,DO Deployment,0
DO,Operations,DO Operations,0
DO,C++,DO C++,0
DO,SOA,DO SOA,0
DO,CICD,DO CICD,0
DO,.Net,DO .Net,0
DO,terraform,DO terraform,0
DO,NoSQL,DO NoSQL,0
DO,Data Analytics,DO Data Analytics,0
DO,Golang,DO Golang,0
DO,Analytics,DO Analytics,0
DO,DevOps Engineer,DO DevOps Engineer,0
DO,VPCs,DO VPCs,0
DO,SQS,DO SQS,0
DO,Ec2,DO Ec2,0
DO,EMRs,DO EMRs,0
DO,DynamoDb,DO DynamoDb,0
DO,Jenkins Administration,DO Jenkins Administration,0
DO,Cloud Services,DO Cloud Services,0
DO,AWS Cloud Services,DO AWS Cloud Services,0
DO,Shell scripting,DO Shell scripting,0
DO,Ubuntu,DO Ubuntu,0
DO,Ci/Cd,DO Ci/Cd,0
DO,CI/CD Tools,DO CI/CD Tools,0
DO,php,DO php,0
DO,VPC setup,DO VPC setup,0
DO,Lambda,DO Lambda,0
DO,Lambda Expressions,DO Lambda Expressions,0
DO,Vpc,DO Vpc,0
DO,Installation,DO Installation,0
DO,Tools,DO Tools,0
DO,Genkins,DO Genkins,0
DO,S3,DO S3,0
DO,c#,DO c#,0
DO,c++,DO c++,0
DO,REST,DO REST,0
DO,software development,DO software development,3
DO,GCP,DO GCP,0
DO,wcf,DO wcf,0
DO,Cloud DevOps,DO Cloud DevOps,0
DO,C#,DO C#,0
DO,PowerShell,DO PowerShell,0
DO,DevOps processes,DO DevOps processes,0
DO,software applications,DO software applications,0
DO,Software Development,DO Software Development,3
DO,API test automation,DO API test automation,0
DO,cloud infrastructure,DO cloud infrastructure,0
DO,GKE,DO GKE,0
DO,Continuous Delivery,DO Continuous Delivery,0
DO,terraform developer,DO terraform developer,0
DO,Computer science,DO Computer science,0
DO,Team management,DO Team management,1
DO,Software configuration management,DO Software configuration management,1
DO,Technology solutions,DO Technology solutions,0
DO,digital transformation,DO digital transformation,0
DO,Solution design,DO Solution design,0
DO,Management systems,DO Management systems,1
DO,Client interfacing,DO Client interfacing,0
DO,AWS DevOps,DO AWS DevOps,0
DO,Change management,DO Change management,1
DO,Design development,DO Design development,3
DO,Gradle,DO Gradle,0
DO,Golang/GO,DO Golang/GO,0
DO,Go/Python,DO Go/Python,0
DO,or Jenkins,DO or Jenkins,0
DO,Openshift,DO Openshift,0
DO,C/C++,DO C/C++,0
DO,Coding,DO Coding,0
DO,CI CD,DO CI CD,0
DO,Containers,DO Containers,0
DO,Go,DO Go,0
DO,Lambda function,DO Lambda function,0
DO,Agile methodologies,DO Agile methodologies,0
DO,Google Cloud Platform,DO Google Cloud Platform,0
DO,Scrum methodologies,DO Scrum methodologies,0
DO,Process improvement,DO Process improvement,0
DO,Security services,DO Security services,0
DO,Data processing,DO Data processing,0
DO,Regression testing,DO Regression testing,0
DO,Customer service,DO Customer service,0
DO,Monitoring,DO Monitoring,0
DO,Helm Charts,DO Helm Charts,0
DO,Teamcity,DO Teamcity,0
DO,LAMP,DO LAMP,0
DO,Hiring,DO Hiring,0
DO,QS,DO QS,0
DO,Supply chain,DO Supply chain,0
DO,Access management,DO Access management,1
DO,Infrastructure management,DO Infrastructure management,1
DO,Network security,DO Network security,0
DO,Medical insurance,DO Medical insurance,0
DO,Payroll,DO Payroll,0
DO,Manager Quality Assurance,DO Manager Quality Assurance,0
DO,Incident management,DO Incident management,1
DO,SCM,DO SCM,0
DO,JIRA,DO JIRA,0
DO,Release management,DO Release management,1
DO,Devops Ci Cd,DO Devops Ci Cd,0
DO,Financial services,DO Financial services,0
DO,Engineering,DO Engineering,0
DO,Finance,DO Finance,0
DO,Engineering management,DO Engineering management,1
DO,Azure Pipelines,DO Azure Pipelines,0
DO,artifactory,DO artifactory,0
DO,selenium,DO selenium,0
DO,sonarqube,DO sonarqube,0
DO,automation testing,DO automation testing,0
DO,orchestration,DO orchestration,0
DO,ISO,DO ISO,0
DO,HIPAA,DO HIPAA,0
DO,Application security,DO Application security,0
DO,Ruby,DO Ruby,0
DO,Version control,DO Version control,0
DO,Subversion,DO Subversion,0
DO,Debugging,DO Debugging,0
DO,Apache,DO Apache,0
DO,project support,DO project support,0
DO,Issue resolution,DO Issue resolution,0
DO,Cloud Infrastructure,DO Cloud Infrastructure,0
DO,Cloud Computing,DO Cloud Computing,0
DO,Xen,DO Xen,0
DO,Docker compose,DO Docker compose,0
DO,VMWare,DO VMWare,0
DO,Tomcat,DO Tomcat,0
DO,KVM,DO KVM,0
DO,TFS,DO TFS,0
DO,Core Java,DO Core Java,0
DO,Team Leading,DO Team Leading,0
DO,Team Management,DO Team Management,1
DO,Technical analysis,DO Technical analysis,2
DO,Sre,DO Sre,0
DO,Manager Technology,DO Manager Technology,0
DO,power bi,DO power bi,0
DO,SDLC,DO SDLC,0
DO,Microsoft,DO Microsoft,0
DO,Technology,DO Technology,0
DO,TCP,DO TCP,0
DO,LDAP,DO LDAP,0
DO,PAAS,DO PAAS,0
DO,SSH,DO SSH,0
DO,operational support,DO operational support,0
DO,Publishing,DO Publishing,0
DO,Infrastructure,DO Infrastructure,0
DO,Healthcare,DO Healthcare,0
DO,Unix,DO Unix,0
DO,Software design,DO Software design,0
DO,Perl,DO Perl,0
DO,Cost Optimization,DO Cost Optimization,0
DO,FinOps,DO FinOps,0
DO,Devops Automation,DO Devops Automation,0
DO,Cost,DO Cost,0
DO,Optimization,DO Optimization,0
DO,aws,DO aws,0
DO,SR,DO SR,0
DO,Devops And Deployment,DO Devops And Deployment,0
DO,ux,DO ux,0
DO,unix administration,DO unix administration,0
DO,sql,DO sql,0
DO,ruby,DO ruby,0
DO,GitHub,DO GitHub,0
DO,Conceptualization,DO Conceptualization,0
DO,Quality assurance,DO Quality assurance,0
DO,Quality management,DO Quality management,1
DO,Assurance,DO Assurance,0
DO,Quality,DO Quality,0
DO,Technical architecture,DO Technical architecture,0
DO,AWS CloudWatch,DO AWS CloudWatch,0
DO,Scalability,DO Scalability,0
DO,Automation tools,DO Automation tools,0
DO,Jenkins/GitLab,DO Jenkins/GitLab,0
DO,Terraform/CloudFormation,DO Terraform/CloudFormation,0
DO,Python/Bash,DO Python/Bash,0
DO,Azure Infrastructure,DO Azure Infrastructure,0
DO,ALM,DO ALM,0
DO,confluence,DO confluence,0
DO,J2EE,DO J2EE,0
DO,ALM DevOps Engineer,DO ALM DevOps Engineer,0
DO,Scrum,DO Scrum,0
DO,Aks Deployment,DO Aks Deployment,0
DO,Azure DB,DO Azure DB,0
DO,Azure Public Cloud,DO Azure Public Cloud,0
DO,Redis Cache,DO Redis Cache,0
DO,enterprise security,DO enterprise security,0
DO,Microsoft Azure Devops,DO Microsoft Azure Devops,0
DO,LAN,DO LAN,0
DO,Windows,DO Windows,0
DO,Devops Jenkins,DO Devops Jenkins,0
DO,DevOps AWS Engineer,DO DevOps AWS Engineer,0
DO,Extensive AWS Services,DO Extensive AWS Services,0
DO,Cloud Formation,DO Cloud Formation,0
DO,Notifications,DO Notifications,0
DO,cloud security,DO cloud security,0
DO,Software development,DO Software development,3
DO,Application development,DO Application development,3
DO,Marketing support,DO Marketing support,0
DO,Risk management,DO Risk management,1
DO,Backend,DO Backend,0
DO,Open source,DO Open source,0
DO,Consulting,DO Consulting,0
DO,Redhat,DO Redhat,0
DO,AWS IAAS,DO AWS IAAS,0
DO,AWS Administration,DO AWS Administration,0
DO,devops engineer,DO devops engineer,0
DO,Kubeflow,DO Kubeflow,0
DO,PyTorch,DO PyTorch,0
DO,splunk,DO splunk,0
DO,Information technology,DO Information technology,0
DO,Performance monitoring,DO Performance monitoring,0
DO,Data analysis,DO Data analysis,2
DO,SEO,DO SEO,0
DO,scikit-learn,DO scikit-learn,0
DO,GitLab,DO GitLab,0
DO,Analytical skills,DO Analytical skills,0
DO,github,DO github,0
DO,Machine learning,DO Machine learning,0
DO,Elk,DO Elk,0
DO,azure iaas,DO azure iaas,0
DO,automation,DO automation,0
DO,Paas,DO Paas,0
DO,Monitoring Tools,DO Monitoring Tools,0
DO,Scripting Languages,DO Scripting Languages,0
DO,Gitlab Ci / Cd,DO Gitlab Ci / Cd,0
DO,Kubernetes Deployment,DO Kubernetes Deployment,0
DO,MS SQL,DO MS SQL,0
DO,Ms Azure,DO Ms Azure,0
DO,Kibana,DO Kibana,0
DO,Kafka,DO Kafka,0
DO,Visual Studio,DO Visual Studio,0
DO,Restful Web Api Development,DO Restful Web Api Development,3
DO,Web API Services,DO Web API Services,0
DO,Aks Kubernetes,DO Aks Kubernetes,0
DO,Aks,DO Aks,0
DO,Azure DevOps,DO Azure DevOps,0
DO,EDC,DO EDC,0
DO,Software development life cycle,DO Software development life cycle,3
DO,jenkins,DO jenkins,0
DO,IIS,DO IIS,0
DO,DTS,DO DTS,0
DO,application lifecycle management,DO application lifecycle management,1
DO,Performance tuning,DO Performance tuning,0
DO,Distribution system,DO Distribution system,0
DO,Web technologies,DO Web technologies,0
DO,web services,DO web services,0
DO,Kubernetes Administration,DO Kubernetes Administration,0
DO,Administration,DO Administration,0
DO,Hosting,DO Hosting,0
DO,Iac,DO Iac,0
DO,Google Cloud Services,DO Google Cloud Services,0
DO,Server monitoring,DO Server monitoring,0
DO,Windows forms,DO Windows forms,0
DO,CMMI,DO CMMI,0
DO,Business modeling,DO Business modeling,0
DO,Product engineering,DO Product engineering,0
DO,Customer support,DO Customer support,0
DO,HTTP,DO HTTP,0
DO,Teradata,DO Teradata,0
DO,Vista,DO Vista,0
DO,Social media,DO Social media,0
DO,Glue,DO Glue,0
DO,EC2,DO EC2,0
DO,linux,DO linux,0
DO,System design,DO System design,0
DO,Load balancing,DO Load balancing,0
DO,DHCP,DO DHCP,0
DO,Rancher,DO Rancher,0
DO,Jenkins Ci,DO Jenkins Ci,0
DO,Unix Shell Scripting,DO Unix Shell Scripting,0
DO,Cloud computing,DO Cloud computing,0
DO,PHP,DO PHP,0
DO,Outsourcing,DO Outsourcing,0
DO,Unix shell scripting,DO Unix shell scripting,0
DO,Solution Architect,DO Solution Architect,0
DO,microservices,DO microservices,0
DO,AWS Cloud,DO AWS Cloud,0
DO,VCenter,DO VCenter,0
DO,VSphere,DO VSphere,0
DO,Chef Puppet,DO Chef Puppet,0
DO,Vrealize Automation,DO Vrealize Automation,0
DO,She,DO She,0
DO,GitLab CI/CD,DO GitLab CI/CD,0
DO,Azure.,DO Azure.,0
DO,orchestration tools.,DO orchestration tools.,0
DO,Google Cloud.,DO Google Cloud.,0
DO,cloud platforms,DO cloud platforms,0
DO,Project management,DO Project management,1
DO,Project delivery,DO Project delivery,0
DO,Monitoring tools,DO Monitoring tools,0
DO,Analytical,DO Analytical,0
DO,Shell Python Scripting,DO Shell Python Scripting,0
DO,TCP/IP UDP ICMP,DO TCP/IP UDP ICMP,0
DO,BGP,DO BGP,0
DO,Aws Cloudformation,DO Aws Cloudformation,0
DO,PCI,DO PCI,0
DO,Hippa Regulations,DO Hippa Regulations,0
DO,Regulations,DO Regulations,0
DO,Pharma,DO Pharma,0
DO,grafana,DO grafana,0
DO,CI,DO CI,0
DO,calypso,DO calypso,0
DO,Continuous improvement,DO Continuous improvement,0
DO,Aws Iam,DO Aws Iam,0
DO,Java Sdk,DO Java Sdk,0
DO,Database management,DO Database management,1
DO,tomcat,DO tomcat,0
DO,maven,DO maven,0
DO,ANT,DO ANT,0
DO,Security analysis,DO Security analysis,2
DO,PRTG,DO PRTG,0
DO,Dms,DO Dms,0
DO,MSI,DO MSI,0
DO,Procurement,DO Procurement,0
DO,Front end,DO Front end,0
DO,Financial reporting,DO Financial reporting,0
DO,Business Analyst,DO Business Analyst,0
DO,IT Administrator,DO IT Administrator,0
DO,TDD,DO TDD,0
DO,Network infrastructure,DO Network infrastructure,0
DO,OWASP,DO OWASP,0
DO,Customer experience,DO Customer experience,0
DO,git,DO git,0
DO,pipeline management,DO pipeline management,1
DO,TravisCI,DO TravisCI,0
DO,nginx,DO nginx,0
DO,data reporting,DO data reporting,0
DO,aws infrastructure,DO aws infrastructure,0
DO,dynamo db,DO dynamo db,0
DO,api gateway,DO api gateway,0
DO,sre,DO sre,0
DO,vpc,DO vpc,0
DO,pipelines,DO pipelines,0
DO,Development Operations,DO Development Operations,3
DO,Usage,DO Usage,0
DO,Managed services,DO Managed services,0
DO,Gaming,DO Gaming,0
DO,Application support,DO Application support,0
DO,IT operations,DO IT operations,0
DO,Focus,DO Focus,0
DO,Telematics,DO Telematics,0
DO,Wellness,DO Wellness,0
DO,Product management,DO Product management,1
DO,Hibernate,DO Hibernate,0
DO,AngularJS,DO AngularJS,0
DO,Debian,DO Debian,0
DO,troubleshooting,DO troubleshooting,0
DO,MongoDB,DO MongoDB,0
DO,Code Deploy,DO Code Deploy,0
DO,Amazon Cloudwatch,DO Amazon Cloudwatch,0
DO,Code Pipeline,DO Code Pipeline,0
DO,Programming,DO Programming,0
DO,cloud architect,DO cloud architect,0
DO,CKAD,DO CKAD,0
DO,web technologies,DO web technologies,0
DO,Puppet,DO Puppet,0
DO,Travis CI,DO Travis CI,0
DO,Data recovery,DO Data recovery,0
DO,Siemens,DO Siemens,0
DO,OSI model,DO OSI model,0
DO,Software Development Manager,DO Software Development Manager,3
DO,Opensource,DO Opensource,0
DO,Application,DO Application,0
DO,Remote,DO Remote,0
DO,Splunk,DO Splunk,0
DO,Windows Support,DO Windows Support,0
DO,SAAS,DO SAAS,0
DO,Microsoft Windows,DO Microsoft Windows,0
DO,Virtualization,DO Virtualization,0
DO,azure,DO azure,0
DO,db,DO db,0
DO,Terraform with Cloud Infra experience,DO Terraform with Cloud Infra experience,0
DO,TCAE,DO TCAE,0
DO,Cloud Infra,DO Cloud Infra,0
DO,Artefactory,DO Artefactory,0
DO,GitOps,DO GitOps,0
DO,UCD,DO UCD,0
DO,Groovy Scripting,DO Groovy Scripting,0
DO,Retail,DO Retail,0
DO,Banking,DO Banking,0
DO,ASP.Net,DO ASP.Net,0
DO,version control,DO version control,0
DO,tool development,DO tool development,3
DO,engineering,DO engineering,0
DO,source,DO source,0
DO,site reliability engineering,DO site reliability engineering,0
DO,Linux system administration,DO Linux system administration,0
DO,Compliance,DO Compliance,0
DO,Conflict resolution,DO Conflict resolution,0
DO,SPC,DO SPC,0
DO,Mentor,DO Mentor,0
DO,PSM,DO PSM,0
DO,Disaster recovery,DO Disaster recovery,0
DO,RHEL,DO RHEL,0
DO,System architecture,DO System architecture,0
DO,Asset management,DO Asset management,1
DO,Agile scrum,DO Agile scrum,0
DO,Business continuity,DO Business continuity,0
DO,Engineering Lead,DO Engineering Lead,0
DO,Data management,DO Data management,1
DO,Orchestration,DO Orchestration,0
DO,kubernetes/Aks,DO kubernetes/Aks,0
DO,cicd pipeline,DO cicd pipeline,0
DO,ARM template,DO ARM template,0
DO,deployment,DO deployment,0
DO,powershell,DO powershell,0
DO,Template,DO Template,0
DO,test automation,DO test automation,0
DO,SCM systems,DO SCM systems,0
DO,infrastructure development,DO infrastructure development,3
DO,GitHub Actions,DO GitHub Actions,0
DO,cd,DO cd,0
DO,elk,DO elk,0
DO,microsoft azure,DO microsoft azure,0
DO,Cloud Amazon Aws,DO Cloud Amazon Aws,0
DO,S,DO S,0
DO,Aws,DO Aws,0
DO,Containers Services,DO Containers Services,0
DO,Bash scripts,DO Bash scripts,0
DO,Scala,DO Scala,0
DO,Big Data,DO Big Data,0
DO,Spark,DO Spark,0
DO,Aws Sagemaker,DO Aws Sagemaker,0
DO,Cloudwatch,DO Cloudwatch,0
DO,ML,DO ML,0
DO,Lamda,DO Lamda,0
DO,Azure pipeline,DO Azure pipeline,0
DO,CI/CD Pipeline,DO CI/CD Pipeline,0
DO,KPI,DO KPI,0
DO,Azure cloud,DO Azure cloud,0
DO,shell scripting,DO shell scripting,0
DO,Script,DO Script,0
DO,BitBucket,DO BitBucket,0
DO,Udeploy,DO Udeploy,0
DO,Mokito,DO Mokito,0
DO,JAMA,DO JAMA,0
DO,VERCODE,DO VERCODE,0
DO,Agile DevOps model,DO Agile DevOps model,0
DO,Apache Airflow,DO Apache Airflow,0
DO,MVC framework,DO MVC framework,0
DO,Oauth2,DO Oauth2,0
DO,Load balancer,DO Load balancer,0
DO,DevOps Application Developer,DO DevOps Application Developer,0
DO,application development,DO application development,3
DO,MySql,DO MySql,0
DO,Database administration,DO Database administration,0
DO,Resource management,DO Resource management,1
DO,Associate Technical Lead,DO Associate Technical Lead,0
DO,Civil,DO Civil,0
DO,rackspace,DO rackspace,0
DO,Application engine,DO Application engine,0
DO,SQL database,DO SQL database,0
DO,Selenium,DO Selenium,0
DO,Azure Databases,DO Azure Databases,0
DO,Hot,DO Hot,0
DO,DBMS,DO DBMS,0
DO,Azure Database,DO Azure Database,0
DO,Bitbucket,DO Bitbucket,0
DO,Technical support,DO Technical support,0
DO,Cloud Applications,DO Cloud Applications,0
DO,Software Engineering,DO Software Engineering,0
DO,senior,DO senior,0
DO,XML,DO XML,0
DO,Restful API,DO Restful API,0
DO,SQL Server,DO SQL Server,0
DO,Bug Life Cycle,DO Bug Life Cycle,0
DO,QC development,DO QC development,3
DO,STLC,DO STLC,0
DO,shell,DO shell,0
DO,TeamCity,DO TeamCity,0
DO,Deveops,DO Deveops,0
DO,Red Hat,DO Red Hat,0
DO,SSL,DO SSL,0
DO,Automation tool,DO Automation tool,0
DO,cloud engineer,DO cloud engineer,0
DO,management,DO management,1
DO,technology,DO technology,0
DO,Open Source,DO Open Source,0
DO,JSON,DO JSON,0
DO,Javascript,DO Javascript,0
DO,Subject matter expertise,DO Subject matter expertise,0
DO,ESP,DO ESP,0
DO,Leadership,DO Leadership,0
DO,CKA,DO CKA,0
DO,server,DO server,0
DO,postgresql,DO postgresql,0
DO,leadership,DO leadership,0
DO,datadog,DO datadog,0
DO,Beam,DO Beam,0
DO,Resource allocation,DO Resource allocation,0
DO,big data,DO big data,0
DO,Redhat Linux,DO Redhat Linux,0
DO,Telecom,DO Telecom,0
DO,Virtual Machines,DO Virtual Machines,0
DO,Azure Monitoring,DO Azure Monitoring,0
DO,Azure Networking,DO Azure Networking,0
DO,VM,DO VM,0
DO,Container Orchestration,DO Container Orchestration,0
DO,Aws Lambda,DO Aws Lambda,0
DO,Literature,DO Literature,0
DO,data science,DO data science,0
DO,Technical Lead,DO Technical Lead,0
DO,Manual,DO Manual,0
DO,Life sciences,DO Life sciences,0
DO,Interpersonal skills,DO Interpersonal skills,0
DO,build automation,DO build automation,0
DO,Arm Templates,DO Arm Templates,0
DO,ARM,DO ARM,0
DO,argoCD,DO argoCD,0
DO,Solaris,DO Solaris,0
DO,Red Hat Enterprise Linux,DO Red Hat Enterprise Linux,0
DO,MySQL db,DO MySQL db,0
DO,Data quality,DO Data quality,0
DO,spark,DO spark,0
DO,Hadoop,DO Hadoop,0
DO,Informatica,DO Informatica,0
DO,Environment management,DO Environment management,1
DO,System testing,DO System testing,0
DO,GUI testing,DO GUI testing,0
DO,Functionality testing,DO Functionality testing,0
DO,Bfsi,DO Bfsi,0
DO,SOC,DO SOC,0
DO,Cobol,DO Cobol,0
DO,ISO 27001,DO ISO 27001,0
DO,Basic,DO Basic,0
DO,Automation testing,DO Automation testing,0
DO,C,DO C,0
DO,science,DO science,0
DO,visual,DO visual,0
DO,studio,DO studio,0
DO,Team,DO Team,0
DO,RCA,DO RCA,0
DO,Pega,DO Pega,0
DO,Middleware,DO Middleware,0
DO,VMS,DO VMS,0
DO,Insurance,DO Insurance,0
DO,Skills - DEVOPS,DO Skills - DEVOPS,0
DO,PYTHON,DO PYTHON,0
DO,JAVA,DO JAVA,0
DO,TYPESCRIPT,DO TYPESCRIPT,0
DO,Data analytics,DO Data analytics,0
DO,RHCE,DO RHCE,0
DO,HP data protector,DO HP data protector,0
DO,IT services,DO IT services,0
DO,ERP,DO ERP,0
DO,Vulnerability assessment,DO Vulnerability assessment,0
DO,Git Repository,DO Git Repository,0
DO,Azure Repo,DO Azure Repo,0
DO,Docker Container,DO Docker Container,0
DO,Key management,DO Key management,1
DO,Amazon Ec2,DO Amazon Ec2,0
DO,perl scripting,DO perl scripting,0
DO,SMS,DO SMS,0
DO,IPS,DO IPS,0
DO,PDF,DO PDF,0
DO,software testing,DO software testing,0
DO,Configuration Management,DO Configuration Management,1
DO,Devops Engineer,DO Devops Engineer,0
DO,Ci / Cd,DO Ci / Cd,0
DO,Microsoft azure,DO Microsoft azure,0
DO,Microsoft Azure DevOps Application Developer,DO Microsoft Azure DevOps Application Developer,0
DO,FastAPI,DO FastAPI,0
DO,Devsecops,DO Devsecops,0
DO,Deploying Cyber Security,DO Deploying Cyber Security,0
DO,Azure Kubernetes Services.,DO Azure Kubernetes Services.,0
DO,Azure Cloud Services,DO Azure Cloud Services,0
DO,Script Language,DO Script Language,0
DO,Node.Js,DO Node.Js,0
DO,Databases Postgres,DO Databases Postgres,0
DO,Languages,DO Languages,0
DO,CI/CD automation,DO CI/CD automation,0
DO,Infrastructure as Code IaC using Terraform,DO Infrastructure as Code IaC using Terraform,0
DO,Google,DO Google,0
DO,As,DO As,0
DO,Gcp Cloud,DO Gcp Cloud,0
DO,Networking Protocols,DO Networking Protocols,0
DO,Logistics,DO Logistics,0
DO,Service level,DO Service level,0
DO,Subject Matter Expert,DO Subject Matter Expert,0
DO,Business intelligence,DO Business intelligence,0
DO,Log shipping,DO Log shipping,0
DO,Vulnerability,DO Vulnerability,0
DO,Team building,DO Team building,0
DO,WAN,DO WAN,0
DO,Information security,DO Information security,0
DO,Active directory,DO Active directory,0
DO,Information technology management,DO Information technology management,1
DO,Data structures,DO Data structures,0
DO,NAT,DO NAT,0
DO,Cluster Management,DO Cluster Management,1
DO,Packaging,DO Packaging,0
DO,network engineering,DO network engineering,0
DO,ReactJS,DO ReactJS,0
DO,json,DO json,0
DO,networking,DO networking,0
DO,mvc,DO mvc,0
DO,Social networking,DO Social networking,0
DO,IAM,DO IAM,0
DO,Dockers,DO Dockers,0
DO,Cloud Platform,DO Cloud Platform,0
DO,Drupal,DO Drupal,0
DO,HTML,DO HTML,0
DO,MATLAB,DO MATLAB,0
DO,Linux Server,DO Linux Server,0
DO,Redis,DO Redis,0
DO,Dotnetcore,DO Dotnetcore,0
