Profile,job_title,experience,salary,location,job_description,tech_stack
DO,DevOps Engineer,5-8 Yrs ,Not disclosed ,,"Principal Accountabilities:• DevOps Experience in large, multi-product environments• Bu...","[EKS, DevOps, ECS, CI/CD, AWS ECR, Amazon Web Services, Artifactory, Jenkins]"
DO,DevOps Engineer,5-7 Yrs ,Not disclosed ,,"Principal Accountabilities:• DevOps Experience in large, multi-product environments• Bu...","[CI/CD Pipelines, Jenkins, Kanban, Agile, CloudTrail, Amazon Web Services, CloudFormation, Artifactory]"
DO,DevOps Engineer,5-8 Yrs ,Not disclosed ,,"Principal Accountabilities:• DevOps Experience in large, multi-product environments• Bu...","[Jenkins, DevOps, Kanban, Git, CI/CD, Docker, CloudFormation, Agile]"
DO,DevOps Engineer,5-10 Yrs ,Not disclosed ,,"Principal Accountabilities:• DevOps Experience in large, multi-product environments• Bu...","[DevOps, CI/CD Pipelines, risk management, Artifactory, EKS, vulnerability assessment, Jenkins, Kanban]"
DO,Azure Devops Engineer,5-9 Yrs ,10-18 Lacs PA ,,"Bachelors degree in computer science, Information Technology, or a related fieldProven ...","[Azure Devops, Kubernetes, Azure Cli, Azure Kubernetes, Terraform, Ansible, Cicd Pipeline, Helm]"
DO,Azure Devops Engineer,7-12 Yrs ,Not disclosed ,,Experience with deploying and managing micro-services using container orchestration pla...,"[Cicd Pipeline, Kubernates, azure devops, Powershell Scripting, Scripting, Devops, Powershell, Continuous Integration]"
DO,Speriti Solutions - Site Reliability Engineer - Azure/DevOps,4-8 Yrs ,Not disclosed ,,"Experience working within a cloud environments (AWS, Azure, Google Cloud Platform etc) ...","[Site Reliability, Configuration Management Tools, Azure, DevOps, Bash Scripting, Linux, CI/CD, Ruby Programming]"
DO,Devops Engineer(6yrs-9yrs- immediate joiner),6-9 Yrs ,10-20 Lacs PA ,,Development of the full life cycle of software or applications with automation toolsSe...,"[Automation Tools, Ci Cd Pipeline, devops, Continuous Integration, continuous deployment, SQL, CI/Cd, Pipeline]"
DO,Senior Devops Engineer/ Lead Devops Engineer ( Notice Period: 30 Days,8-12 Yrs ,Not disclosed ,,Role & responsibilities Educated to a bachelor s degree with 6+ years of industry exper...,"[Terraform, Devops, Jenkins, Github, Senior]"
DO,Senior DevOps Engineer,8-10 Yrs ,Not disclosed ,,"Deep understanding and working experience on Kubernetes, Containers, Red Hat Open Shift...","[DevOps, AWS, Red Hat Open Shift, Kubernetes, Jenkins, Enterprise architecture, CI/CD, Troubleshooting]"
DO,Devops Engineer,1-6 Yrs ,Not disclosed ,,"Should have hands-on experience with Build Tools like Jenkins, GitHub Actions, AWS Code...","[Aws Devops, Cicd Pipeline, Grafana, Terraform, Ansible, CI/Cd, Devops, AWS]"
DO,"Lead DevOps Engineer at Qualys ,Pune",6-9 Yrs ,Not disclosed ,,"Experience enforcing security policies on SCM such as GitHub, BitbucketExperience with ...","[Devops, Ci Cd Pipeline, Aws Devops, Continuous Integration, Qualys, AWS, Cd, Pipeline]"
DO,Azure Devops Engineer,5-10 Yrs ,Not disclosed ,,"Experience :5+ Years . Excellent knowledge and Experience into Azure DevOps, Terraform,...","[Terraform, Azure Cloud, Cicd Pipeline, Azure Devops, Kubernetes, engineer, Pipeline, Microsoft Azure]"
DO,Devops Lead,6-11 Yrs ,20-30 Lacs PA ,,"This job should support in deploying product updates, identifying production issues, an...","[Sonarqube, Groovy, Containerization, Gitlab, Python, Maven, NUnit, Ant]"
DO,Senior DevOps Engineer - Puppet/AWS,4-7 Yrs ,Not disclosed ,,Role & Responsibility :- To design and develop automated deployment arrangements by lev...,"[DevOps, Azure, ELK, Chef, open-source, Grafana, SQL, Agile principles]"
DO,BBRC - Senior AWS DevOps Developer (189),6-11 Yrs ,Not disclosed ,,"AWS certifications (e.g., AWS Certified Developer, AWS Certified Solutions Architect) (...","[Full Stack Developer, JavaScript, MySQL, Oracle, AWS, AWS Devops, Development, Devops]"
DO,Application Consultant: DevOps,3-7 Yrs ,Not disclosed ,,Required Technical and Professional Expertise . Extensive experience building and confi...,"[DevOps, performance testing, documentation, application performance management, hybrid cloud, design development, creative solutions, Management]"
DO,Application Consultant: DevOps,3-7 Yrs ,Not disclosed ,,Required Technical and Professional Expertise . Extensive experience building and confi...,"[Networking, hybrid cloud, devops, application performance management, Performance testing, documentation, application architecture, APM solution]"
DO,Senior Consultant - DevOps,5-9 Yrs ,Not disclosed ,,"Familiarity with- . Orchestration tools - Docker compose, Kubernetes (k8s), etc . Virtu...","[Solution architecture, Architect, VMware, Costing, Networking, Linux, Illustration, Billing]"
DO,Sr. DevOps Engineer,7-10 Yrs ,Not disclosed ,,7+ years experience managing / monitoring cloud and virtualized servers for optimal per...,"[devops, Iac Tools, AWS, Azure Devops, Kubernetes, Aws Cloud, application engineering, Serverless]"
DO,Sr . Devops Engineer II,7-10 Yrs ,Not disclosed ,,With 7 to 10 years of experience. .,"[Root cause analysis, Prototype, Claims, Risk assessment, risk modeling, data governance, Workflow, microsoft]"
DO,Sr. Devops Engineer II,7-10 Yrs ,Not disclosed ,,Deploying applications in an automated fashion by creating and managing CI/CD pipeli...,"[Engineer II, Root cause analysis, Team leading, Prototype, Architecture, devops, Cloud, Troubleshooting]"
DO,Senior Devops Engineer,9-11 Yrs ,Not disclosed ,,An engineering / automation mindset with an operations background. 3-5 years experience...,"[Devops, AppDynamics, SolarWinds, RDBMS, MySQL, Web development, New Relic, Prometheus]"
DO,DevOps Engineer (L6),10-20 Yrs ,Not disclosed ,,Assist broad portfolio of applications in accelerating their migration to AWS by buil...,"[Training, ECS, devops, Postgresql, Deployment, Troubleshooting, Operations, AWS]"
DO,"Principal Engineer(Devops,CICD,Cloud,terraform)",8-10 Yrs ,Not disclosed ,,What it takes: . 8+ years of software development experience with 3 years leading agile...,"[Devops, C++, SOA, Docker, Cloud, CICD, .Net, terraform]"
DO,DevOps - Engineer / Sr. Engineer,5-10 Yrs ,Not disclosed ,,"Position requires a Bachelors degree in Computer Science, Engineering, or a related fie...","[NoSQL, Agile, Data Analytics, Jenkins, Golang, Git, CI/CD, Analytics]"
DO,devops Engineer/ Lead,5-10 Yrs ,Not disclosed ,,5+ years of experience working as a DevOps engineer. . Strong in managing AWS infrastru...,"[DevOps Engineer, DevOps, VPCs, SQS, Ec2, CICD, EMRs, DynamoDb]"
DO,DevOps Engineer,4-6 Yrs ,Not disclosed ,,Technical Experience : A: Strong knowledge in DevOps concepts handling CI / CD pipeline...,"[DevOps, GIT, Python, Jenkins Administration, DevOps Engineer, Cloud Services, AWS Cloud Services, Groovy]"
DO,DevOps Engineer,5-7 Yrs ,Not disclosed ,,Kubernetes Certification will be an added advantage Required Technical and Professional...,"[DevOps, Linux, JavaScript, Shell scripting, Python, Ubuntu, Jenkins, GIT]"
DO,Devops Engineer (DM- 3730),1-3 Yrs ,Not disclosed ,,Strong background in DevOps practices and methodologies. . Proficiency in Linux adminis...,"[Docker, Terraform, Aws Devops, Ansible, Devops, Github, Ci/Cd, Kubernates]"
DO,DevOps Engineer - Jenkins/Kubernetes,3-5 Yrs ,Not disclosed ,,Experience in architecting complex production systems with Multi tier application stack...,"[DevOps, Jenkins, Java, CI/CD Tools, Terraform, Cloud Services, CloudFormation, php]"
DO,Devops Engineer,6-10 Yrs ,18-25 Lacs PA ,,"Strong experience in Jenkins, Redshift . What makes you a great fit : . Strong knowled...","[Jenkins, DevOps, CI/CD, VPC setup, Lambda, Lambda Expressions, Vpc, Installation]"
DO,Devops Engineer,4-7 Yrs ,20-30 Lacs PA ,,Setting up tools and required infrastructure,"[Maven, GIT, Docker, CI/CD, Kubernetes, Continuous Integration, Cd, Devops]"
DO,Devops Engineer,2-5 Yrs ,Not disclosed ,,Heres what you will do – Handling all DevOps activities Engage with development team...,"[Devops, Aws Devops, Ansible, Ci/Cd, terraform, AWS, Continuous Integration, Cd]"
DO,Devops Engineer,2-4 Yrs ,4-6 Lacs PA ,,Only those candidate apply who are ready to work from office and can relocate to Noida ...,"[Aws Devops, Devops Tools, Cicd Pipeline, CI/Cd, Devops, Tools, AWS, Pipeline]"
DO,Devops Engineer,5-7 Yrs ,Not disclosed ,,"Experience with infrastructure as code (e.g., Terraform, Ansible). . Strong understandi...","[Aws Devops, Genkins, Ci/Cd, Devops, Gitlab, Azure Devops, Python, Microsoft Azure]"
DO,Lead DevOps Engineer,8-12 Yrs ,15-20 Lacs PA ,,"DevOps professional certifications like AWS Certified DevOps Engineer, Certified Prefer...","[S3, DevOps, Terraform, CI/CD, AWS, Lambda, Cd, Cd]"
DO,"Principal Engineer(Devops,CICD,Cloud,terraform)",8-10 Yrs ,Not disclosed ,,Liaise directly with business stakeholders to understand business problems and propose ...,"[Devops, c#, c++, REST, software development, GCP, CICD, wcf]"
DO,Quality Assurance Engineer (Cloud DevOps),3-5 Yrs ,Not disclosed ,,Experience working in an Agile or SCRUM team environmentPreferred Qualifications. Compu...,"[Cloud DevOps, C#, PowerShell, DevOps processes, software applications, Software Development, API test automation, cloud infrastructure]"
DO,Devops Engineer,1-5 Yrs ,9-19 Lacs PA ,,Familiar with working on cloud and datacenter for enterprise customers. . Hands-on expe...,"[Linux, Ansible, CI/CD, AWS, Kubernetes, Continuous Integration, Devops, Cd]"
DO,Devops Lead,8-10 Yrs ,1-6 Lacs PA ,,"10 experience as a DevOps Engineer / Architect or similar role, with a focus on automat...","[Azure, DevOps, GCP, CI/CD, AWS, GKE, Java, C++]"
DO,DevOps AWS Engineer,5-8 Yrs ,Not disclosed ,,Should be able to build the deployment pipelines Should be able to perform the architec...,"[AWS, DevOps, Docker, Kubernetes]"
DO,Devops Architect,7-12 Yrs ,Not disclosed ,,Collaborating with the Business Development team in pre-sales activities such as requir...,"[Terraform, Ci/Cd, Kubernates, Cd, Continuous Integration, Cd, Architecture, Devops]"
DO,Devops Lead,10-15 Yrs ,Not disclosed ,,Hands-on Experience over K8s based Micro Service Architecture is added advantage. Well ...,"[Aws Devops, Ansible, Devops, Kubernetes, Ci Cd Pipeline, Terraform, Continuous Delivery, Continuous Integration]"
DO,Devops Developer _AWS +Terraform _Hybrid,4-7 Yrs ,Not disclosed ,,"Bachelors degree in Computer Science, Software Engineering, or a related field (or equi...","[Terraform, AWS, terraform developer, Devops, Development]"
DO,AWS DevOps and Kafka Developer,5-8 Yrs ,Not disclosed ,,"Applications, Master Of Engineering, Bachelor Of Computer Science, Bachelor Of Comp Edu...","[Computer science, Team management, Software configuration management, Technology solutions, digital transformation, Solution design, Management systems, Client interfacing]"
DO,AWS DevOps and Kafka Developer,9-11 Yrs ,Not disclosed ,,"Applications, Master of Computer Science, Master Of Engineering, Bachelor Of Computer S...","[AWS DevOps, Computer science, Change management, Team management, Management systems, Software configuration management, Agile, Design development]"
DO,Senior Devops Engineer,8-13 Yrs ,Not disclosed ,,5+ years of relevant work experience in DevOps5 + years - hands-on knowledge of techno...,"[Aws Devops, Cicd Pipeline, Kubernetes, Maven, Gradle, Pipeline, AWS, Senior]"
DO,Software Engineer-DevOps-Tooling-Gurgaon,4-9 Yrs ,Not disclosed ,,"Experience with container orchestration services, especially Kubernetes / OpenShift, Do...","[Aws Devops, AWS, Golang/GO, Java, Go/Python, or Jenkins, Openshift, C/C++]"
DO,DevOps Engineer/Specialist- Tooling,5-10 Yrs ,22.5-32.5 Lacs PA ,,"Experience with container orchestration services, especially Kubernetes / OpenShift, Do...","[Coding, Cloud, CI CD, Devops, Java, Containers, Go, Python]"
DO,Devops Engineer,3-6 Yrs ,Not disclosed ,,Experience with CI / CD Tools Like GoCD / Jenkins & Manage CI and CD tools with the tea...,"[Devops, Jenkins, Docker, Chef, Ansible, CI/CD, AWS, Lambda function]"
DO,Devops Engineer,4-8 Yrs ,Not disclosed ,,"Design, implement, and maintain our companys infrastructure and deployment pipeline us...","[Devops, Azure, Agile methodologies, Google Cloud Platform, JavaScript, CI/CD, cloud infrastructure, Scrum methodologies]"
DO,DevOps Engineer,5-10 Yrs ,Not disclosed ,,"Bachelor s degree in computer science . NICE TO HAVE, BUT NOT A DEALBREAKER . Expert in...","[Process improvement, Agile, Security services, Data processing, Regression testing, Customer service, Analytics, Monitoring]"
DO,Lead DevOps Engineer,6-9 Yrs ,Not disclosed ,,Experience in designing & building applications using container & serverless technologi...,"[Jenkins, Aws Devops, Terraform, Helm Charts, Kubernetes, Azure Kubernetes, Aws Cloud, Teamcity]"
DO,QS is hiring For Linux / DevOps Engineer - Bangalore,3-5 Yrs ,Not disclosed ,,"Why QS? At QS, our culture fosters a flexible working environment that encourages our e...","[Jenkins, Linux, LAMP, AWS, Hiring, QS, Devops]"
DO,DevOps Engineer,2-4 Yrs ,Not disclosed ,,Proven experience in cloud operations and system administration,"[Supply chain, Networking, Access management, Infrastructure management, MySQL, Network security, Medical insurance, Monitoring]"
DO,DevOps Engineer,2-5 Yrs ,Not disclosed ,,We seek a skilled DevOps Engineer to join our team. The ideal candidate will have a s...,"[Payroll, Manager Quality Assurance, Configuration management, Incident management, SCM, Troubleshooting, JIRA, Release management]"
DO,Senior DevOps Engineer/ Cloud Administrator-Kolkata,4-8 Yrs ,Not disclosed ,,Possessing production-level experience with distributed applications at scale in public...,"[Cloud, Devops, Devops Ci Cd, CI/Cd, Senior, Continuous Integration, Cd]"
DO,Engineering Manager - DevOps,8-10 Yrs ,Not disclosed ,,Collaborate with developers to establish and ensure that new environments meet requir...,"[devops, Financial services, Management, Engineering, Finance, Engineering management]"
DO,Azure Devops Engineer,1-3 Yrs ,Not disclosed ,,Job descriptionBuild enterprise curated Experience in CI/CD pipelines from scratch.Wor...,"[Azure Devops, Jenkins, Azure Pipelines, Devops, Microsoft Azure, Pipeline]"
DO,Engineer/Lead/Architect Devops Engineer,12-14 Yrs ,Not disclosed ,,"Proven experience as a DevOps and Cloud Architect or similar role, with a strong focus ...","[Devops, artifactory, continuous integration, python, nexus, selenium, sonarqube, automation testing]"
DO,Devops Engineer,6-8 Yrs ,Not disclosed ,,Develop and integrate a variety of security services including network and applica...,"[continuous integration, Automation, GIT, orchestration, ISO, HIPAA, Application security, Ruby]"
DO,Devops Engineer,5-6 Yrs ,Not disclosed ,,"Experience with web application security (SSL) . Preferred experience with Docker, conf...","[Computer science, Version control, Linux, Configuration management, Subversion, Debugging, Apache, SCM]"
DO,Cloud DevOps Engineer,5-7 Yrs ,Not disclosed ,,Technology Stack The application required the following technologies: Cloud Plat...,"[Version control, GIT, orchestration, project support, devops, Cloud, Issue resolution, AWS]"
DO,Senior DevOps Engineer - AWS,5-10 Yrs ,Not disclosed ,,Education qualification: BE /B Tech / MCA / MSc / M Tech. 5-8 years of experience in De...,"[Devops, Cloud, AWS, S3, Github, Cloud Infrastructure, Jenkins, Cloud Computing]"
DO,DevOps Architect,5-9 Yrs ,Not disclosed ,,Desired Skills and ExperienceDeep understanding of cloud and cloud native principles an...,"[DevOps, Xen, Docker compose, Nginx, VMWare, Tomcat, KVM, Docker]"
DO,Associate Java & DevOps Programmer Analyst,4-7 Yrs ,Not disclosed ,,The Boeing Company is currently seeking a high performing Associate Java & DevOps Progr...,"[Java, TFS, Maven, Agile methodologies, SQL, Jenkins, DevOps, Core Java]"
DO,Tech Lead-DevOps,9-12 Yrs ,Not disclosed ,,entomo is a people experience platform built for the digital world of work. Powering 3...,"[DevOps, Aws Devops, Linux, CI/CD, Team Leading, Team Management, Cd, Technical analysis]"
DO,SRE- DevOps Engineer,3-8 Yrs ,Not disclosed ,,"Experience with technologies like ElastiCache Redis, Mongo DB, DynamoDB and OpenSearch....","[Devops, Kubernetes, Aws Devops, Docker, Sre, Prometheus, Helm, Grafana]"
DO,Senior DevOps Engineer (Linux),4-6 Yrs ,Not disclosed ,,"Extensive experience in setting up and maintaining CI / CD pipelines using Jenkins, Git...","[Linux, Jenkins, Docker, Bash, Python, Kubernetes, Senior, Devops]"
DO,Senior Devops Engineer For MS Power Platform,8-10 Yrs ,Not disclosed ,,SDLC - Complete . Devops - Must since they would be primary a developer but also would ...,"[Architecture, devops, Manager Technology, power bi, SDLC, Microsoft, Management, Technology]"
DO,Senior DevOps Engineer,5-8 Yrs ,Not disclosed ,,Must have 5 years of hands-on experience in the field of DevOps At least 4 year...,"[TCP, GIT, LDAP, devops, PAAS, Cloud, DNS, SSH]"
DO,Senior DevOps Engineer I,4-8 Yrs ,Not disclosed ,,Experience facilitating technical and planning meetings to identify best outcomes . Str...,"[operational support, Publishing, GIT, GCP, devops, Agile, Infrastructure, Healthcare]"
DO,Sr DevOps Engineer,9-13 Yrs ,Not disclosed ,,"5+ years of experience in a similar role. Plan, implement, and maintain the software de...","[Unix, Automation, Software design, Linux, MySQL, Perl, Troubleshooting, Ruby]"
DO,Senior Devops Engineer (CK),3-7 Yrs ,Not disclosed ,,"Responsibilities:Solution design, architecture blueprints, cost estimates of the compo...","[Cost Optimization, AWS, Bash Scripting, FinOps, Devops Automation, Cost, Optimization, Senior]"
DO,Senior Devops Engineer,5-8 Yrs ,Not disclosed ,,RAVSoft Solutions is focused on providing innovative and high quality software solution...,"[Terraform, Devops, Python, Ansible, Helm Charts, aws, Azure Devops, Kubernetes]"
DO,Sr. DevOps Engineer,8-13 Yrs ,Not disclosed ,,"Experience with monitoring / alerting system such as Datadog, Opsgenie, Prometheus, etc...","[GCP, AWS, Cloud Infrastructure, Python, Devops, SR, Infrastructure, Cloud]"
DO,Senior Devops Engineer,5-8 Yrs ,15-25 Lacs PA ,,We at Heady are looking for an experienced and knowledgeable Senior DevOps Engineer for...,"[Docker, devops, Kubernetes, Devops And Deployment, ux, unix administration, sql, ruby]"
DO,Sr Devops Engineer,5-8 Yrs ,Not disclosed ,,andidates datecandidates datesimmediatelyimmediately availableavailableRole & responsib...,"[Kubernetes, Docker, devops, SR]"
DO,Lead DevOps Engineer,5-7 Yrs ,Not disclosed ,,we see DevOps as a methodology that unites operations and development to automate every...,"[DevOps, Jenkins, Terraform, Linux, Shell Scripting, GitHub, Ansible, Python]"
DO,Devops Engineer,4-10 Yrs ,Not disclosed ,,Collecting and reviewing customers feedback to enhance user experience,"[Manager Quality Assurance, devops, Conceptualization, Quality assurance, Management, Quality management, Assurance, Quality]"
DO,Infrastructure Specialist: AWS DevOps,5-9 Yrs ,Not disclosed ,,"Your Role and ResponsibilitiesDefine, analyze and review technical architecture on requ...","[Automation, Linux, Technical architecture, Python, AWS DevOps, AWS CloudWatch, ansible, hybrid cloud]"
DO,Microsoft Azure DevOps Application Developer,2-5 Yrs ,Not disclosed ,,"Work Experience : 5-4 years Professional Attributes : Good Communication skills, leader...","[DevOps, Version control, GIT, Release management, continuous integration, Linux, Docker, Google Cloud Platform]"
DO,AWS DevOps Consultant,7-9 Yrs ,Not disclosed ,,Bachelor of Engineering Should have experience with either ElasticsearchShould have exp...,"[GIT, Agile, Scalability, ECS, devops, Chef, Automation tools, Cloud]"
DO,Devops Lead,10-15 Yrs ,Not disclosed ,,Role & responsibilities : 10+ years of strong experience in DevOps.• Experience workin...,"[Devops, Kubernetes, Scripting, Aws Devops, Cloud, Ci/Cd, AWS, Continuous Integration]"
DO,Devops Architect (immediate),5-10 Yrs ,10-15 Lacs PA ,,This is very urgent requirement for one of the MNC client (only Permanent employees) . ...,"[Jenkins/GitLab, AWS, Terraform/CloudFormation, Python/Bash, Kubernetes, Git, CI/CD, Gitlab]"
DO,Azure Devops Engineer,5-10 Yrs ,"60,000-70,000 PA ",,Ample experience in crafting CI / CD pipelines including automated infrastructure testi...,"[Terraform, Docker, Ansible, Cicd Pipeline, Azure Devops, VMware, Azure, Azure Infrastructure]"
DO,ALM - DevOps Engineer,4-8 Yrs ,Not disclosed ,,"Docker, Ansible, HelmChart, Helm, Kubernetes, Chef, Shell ScriptingExperience in ALM im...","[DevOps, Java, ALM, confluence, Shell Scripting, Github, Chef, J2EE]"
DO,ALM DevOps Engineer,4-8 Yrs ,Not disclosed ,,"Docker, Ansible, HelmChart, Helm, Kubernetes, Chef, Shell ScriptingExperience in ALM im...","[DevOps, Shell Scripting, Chef, ALM DevOps Engineer, J2EE, Docker, Linux, Terraform]"
DO,"Looking For a DevOps/Cloud Developer, we found YOU!",7-10 Yrs ,Not disclosed ,,"DevOps / Cloud Developer:Design, Develop, and integrate all applications to utilize th...","[Azure Cloud, Devops, Python, Kubernetes, Jenkins, Aws Cloud, Terraform, Ansible]"
DO,Devops Lead,8-11 Yrs ,Not disclosed ,,"10 experience as a DevOps Engineer / Architect or similar role, with a focus on automat...","[Azure, DevOps Engineer, Terraform, GCP, AWS, Devops, Microsoft Azure]"
DO,DevOps Sr. Engineer - AWS,6-10 Yrs ,Not disclosed ,,"Design, build, and maintain scalable, highly available, and secure AWS infrastructu...","[Networking, Configuration management, devops, Automation tools, Agile, Deployment, Scrum, AWS]"
DO,Senior Consultant - DevOps,7-10 Yrs ,Not disclosed ,,Should have experience of deploying WAR and JAR files on JBOSS Application server . Des...,"[DevOps, Xen, Nginx, Tomcat, KVM, ELK, Chef, Groovy]"
DO,Azure Devops Engineer,5-10 Yrs ,Not disclosed ,,Shift Time: 2pm-11pm Experience:5-10years,"[Cicd Pipeline, Aks Deployment, Helm Charts, Azure Devops, Deployment, Pipeline, Microsoft Azure, CI/Cd]"
DO,Senior DevOps Engineer - Azure,5-8 Yrs ,Not disclosed ,,"Experience in building, deploying and monitoring Azure services with strong IaaS and Pa...","[Azure Infrastructure, Azure DB, Azure Devops, Azure Pipelines, Azure Public Cloud, Redis Cache, Powershell Scripting, SQL]"
DO,Microsoft Azure DevOps Application Developer,4-6 Yrs ,Not disclosed ,,Technical Experience : 5-6 years Sr Infra consultant for Landing Zone set-up on custome...,"[Azure, DevOps, kubernetes, enterprise security, terraform, azure devops, Microsoft Azure, Microsoft Azure Devops]"
DO,Senior DevOps Engineer - AWS,7-12 Yrs ,Not disclosed ,,Pro-level certification or requisite knowledge in at least one of the aboveExperience i...,"[Automation, Linux, Networking, Configuration management, LAN, DNS, Windows, Release management]"
DO,AWS Infra DevOps Engineer,8-13 Yrs ,Not disclosed ,,Greetings from TATA Consultancy Services!!Role: Cloud Infra Engineer/ArchitectExp: 8 t...,"[Devops Jenkins, Aws Devops, Cicd Pipeline, Terraform, Ansible, Devops Tools, Pipeline, Tools]"
DO,Cloud DevOps Architect,9-14 Yrs ,9.5-19 Lacs PA ,,Job Title: Azure - Cloud DevOps ArchitectJob Location: Pune/BangaloreExperience Requir...,"[Kubernates, Docker, Azure Devops, Microsoft Azure, Cloud, Architecture, Devops]"
DO,Hiring For DevOps AWS Engineer,5-10 Yrs ,Not disclosed ,,"Skill: DevOps AWS EngineerExp: 5-10 YearsNP: Immediate joinersBudget: 5-7 Yrs - 24L, 8...","[Jenkins, DevOps AWS Engineer, Extensive AWS Services, Terraform, Ansible, Cloud Formation, Notifications, Monitoring]"
DO,Infrastructure Specialist: Google DevOps,6-10 Yrs ,Not disclosed ,,"Define, analyze and review technical architecture on required platform and coming up wi...","[cloud security, Agile, Technical architecture, Python, Java, Software development, Network security, .Net]"
DO,DevOps Consultant,5-7 Yrs ,Not disclosed ,,"Educational Requirements- Master Of Science, Bachelor of Engineering, Bachelor Of Techn...","[DevOps, Solution design, Team management, Management systems, Software configuration management, Application development, Technology solutions, digital transformation]"
DO,Senior DevOps Engineer,4-8 Yrs ,Not disclosed ,,. You use cloud native technologies and tools to develop our 5G products on a container...,"[TCP, Networking, Linux, Configuration management, Marketing support, Debugging, Cloud, Risk management]"
DO,Sr. Devops Engineer II,7-10 Yrs ,Not disclosed ,,With 7 to 10 years of experience,"[Engineer II, Root cause analysis, Team leading, Prototype, Architecture, devops, Cloud, Troubleshooting]"
DO,Senior DevOps Engineer,3-5 Yrs ,Not disclosed ,,"Experience with Docker, GitHub, and deploying applications on AWS . Ability to learn / ...","[Automation, Backend, Networking, devops, Configuration management, Open source, Operations, AWS]"
DO,Senior DevOps Engineer,5-10 Yrs ,Not disclosed ,,". BE/ B Tech/ MCA/ ME/ M Tech / MSc Computer Science Knowledge of Cloud Platforms (AWS,...","[GIT, Powershell, devops, Software configuration management, Consulting, Agile, Perl, Release management]"
DO,Senior DevOps Engineer,5-7 Yrs ,Not disclosed ,,Experience in creation of highly automated infrastructures using Terraform and AnsibleD...,"[Ubuntu, Redhat, Automation, Linux, Consulting, Agile, Perl, Operations]"
DO,Senior Devops Engineer - WATERS,4-6 Yrs ,Not disclosed ,,"ResponsibilitiesA day in the life of an InfoscionAs part of the Infosys delivery team, ...","[Devops, Jenkins, AWS DevOps, Git, AWS IAAS, AWS, AWS Administration, Kubernetes]"
DO,DevOps Engineer,8-10 Yrs ,Not disclosed ,,"Experience with versioning and reproducibility tools and frameworks such as Git, DVC an...","[DevOps, Azure, devops engineer, Jenkins, Kubeflow, PyTorch, Docker, GCP]"
DO,DevOps Engineer,4-6 Yrs ,Not disclosed ,,Experience: 4-6 Years Responsiblitites: 4+ years of experienc...,"[Redhat, Automation, Networking, Linux, Infrastructure management, devops, Postgresql, Configuration management]"
DO,Lead Devops Engineer,10-12 Yrs ,Not disclosed ,,Foster a collaborative and inclusive environment that encourages innovation and growth....,"[Automation, NoSQL, Shell scripting, splunk, Information technology, Performance monitoring, Analytics, SQL]"
DO,DevOps Engineer,2-3 Yrs ,Not disclosed ,,in Computer Science or related field . 2+ years of experience in DevOps . UNIX / Linux ...,"[Unix, Automation, Data analysis, Linux, MySQL, SEO, Troubleshooting, Monitoring]"
